year,season,crop,cultivated_area_ha,harvested_area_ha,production_mt,yield_mt_ha,source
2025,A,Cereals,307721,305770,611547,,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Maize,245405,245001,488622,2.0,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Maize,244095,242439,481246,2.0,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Sorghum,38302,38300,50065,1.3,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Sorghum,40353,40298,54994,1.4,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Paddy rice,17209,17208,71080,4.1,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Paddy rice,17312,17078,69680,4.1,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Wheat,2177,2177,3051,1.4,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Wheat,2391,2384,3144,1.3,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Other cereals,6798,6798,4077,0.6,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Other cereals,3571,3571,2483,0.7,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Tubers and Roots,420250,182719,1796079,,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Tubers and Roots,407932,186089,1757286,,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Cassava,236357,41628,569110,13.7,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Cassava,247839,40090,542874,13.5,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Sweet potato,96217,76592,675768,8.8,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Sweet potato,82458,78583,656320,8.4,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Irish potato,55310,55192,491564,8.9,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Irish potato,54485,54465,475785,8.7,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Yams & Taro,32366,9307,59638,6.4,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Yams & Taro,23150,12951,82307,6.4,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Banana,267676,112010,1331143,11.9,NISR SAS 2026 Season A Final Report - Table 6
